r star_mass gas_mass dm_mass star_density gas_density dm_density
3.3754204976418043 490176.14604659507 4288672.639875589 789831926.2610761 609.3941582575845 67177.97701230063 11131158.495009767
3.5323749585025697 492770.9693092282 4499365.848329633 826684679.9451854 744.8819551843397 60409.998137621005 10577151.032406166
3.689329419363335 493380.4326486796 4715229.113719261 862655160.0844939 167.51226855604423 59263.186292172555 9884820.78610865
3.8462838802241004 494668.6631542342 4911804.235550285 898191073.573544 339.6242657666493 51768.69093287012 9366993.698691139
4.003238341084866 495826.44539141527 5105805.872782077 933386279.3000807 293.2661264894915 49090.57594217041 8913533.451350166
4.160192801945631 498243.1677285871 5302122.19805276 967984542.5005605 589.0603161139694 47804.58221651908 8431836.050362917
4.317147262806396 500034.8798334419 5487443.148596564 1002388517.8034086 420.8407954444373 43488.55599605828 8079719.808344041
4.474101723667161 501945.5367133508 5672441.297144847 1036024727.4045045 433.0353161279191 41891.71749710477 7622347.235162184
4.631056184527926 503185.24684643606 5840539.824711148 1069105292.3901514 271.44795194435335 36776.339185481105 7242411.467953231
4.788010645388692 504579.38104550453 6011337.216834196 1101928684.0233774 295.2541031587603 36143.28182245108 6950583.81002963
4.944965106249457 505325.4344357996 6187098.683003622 1134359745.5058303 152.98651270235345 36014.52106854877 6649566.201414854
5.101919567110222 506108.7998820075 6347924.506307177 1166986972.0636697 155.69593423363685 31941.416200582793 6484018.231998076
5.258874027970988 506670.17401174747 6524226.64281159 1199273490.8589957 108.24456393998035 33971.18536500607 6224841.345263457
5.415828488831753 507069.98454126576 6683925.770220723 1230896427.317966 74.85758176969544 29881.10341084219 5920237.903110619
5.5727829496925185 507261.61350835126 6847271.621918227 1262358865.0788927 34.868679326294426 29703.479768417867 5724321.600986582
5.729737410553284 507615.11520695104 7024533.938858733 1294176089.435495 62.5609383533929 31351.96266269076 5630321.159518373
5.886691871414048 508412.8959881163 7195231.849427703 1325589720.5747945 137.42278128984742 29386.7116354851 5410708.647505249
6.043646332274814 508609.17875425325 7357125.287570337 1356312550.3002925 32.932871221566224 27147.8086769513 5154316.8465137025
